Current learning rate: 0.1
Epoch: [2][170/383]	Loss 0.2434 (0.2231)	Accuracy 40.625 (40.785)
Epoch: [2][180/383]	Loss 0.2222 (0.2232)	Accuracy 41.406 (40.733)
Epoch: [2][190/383]	Loss 0.2096 (0.2228)	Accuracy 46.094 (40.830)
Epoch: [2][200/383]	Loss 0.2036 (0.2226)	Accuracy 46.875 (40.917)
Epoch: [2][210/383]	Loss 0.2074 (0.2221)	Accuracy 50.781 (41.062)
Epoch: [2][220/383]	Loss 0.2136 (0.2220)	Accuracy 46.094 (41.070)
Epoch: [2][230/383]	Loss 0.2150 (0.2219)	Accuracy 39.062 (41.088)
Epoch: [2][240/383]	Loss 0.2185 (0.2220)	Accuracy 46.875 (41.050)
Epoch: [2][250/383]	Loss 0.2224 (0.2219)	Accuracy 42.969 (41.142)
Epoch: [2][260/383]	Loss 0.2072 (0.2215)	Accuracy 46.094 (41.224)
Epoch: [2][270/383]	Loss 0.2100 (0.2214)	Accuracy 46.875 (41.291)
Epoch: [2][280/383]	Loss 0.2182 (0.2213)	Accuracy 43.750 (41.387)
Epoch: [2][290/383]	Loss 0.2035 (0.2210)	Accuracy 46.094 (41.452)
Epoch: [2][300/383]	Loss 0.2253 (0.2208)	Accuracy 39.844 (41.497)
Epoch: [2][310/383]	Loss 0.2294 (0.2207)	Accuracy 32.031 (41.474)
Epoch: [2][320/383]	Loss 0.2209 (0.2205)	Accuracy 44.531 (41.562)
Epoch: [2][330/383]	Loss 0.2204 (0.2204)	Accuracy 43.750 (41.597)
Epoch: [2][340/383]	Loss 0.2118 (0.2205)	Accuracy 40.625 (41.594)
Epoch: [2][350/383]	Loss 0.2206 (0.2206)	Accuracy 41.406 (41.542)
Epoch: [2][360/383]	Loss 0.1887 (0.2204)	Accuracy 51.562 (41.595)
Epoch: [2][370/383]	Loss 0.2090 (0.2202)	Accuracy 45.312 (41.663)
Epoch: [2][380/383]	Loss 0.2106 (0.2203)	Accuracy 41.406 (41.710)
Test: [  0/164]	Loss 1.9277 (1.9277)	Accuracy 14.844 (14.844)
Test: [ 10/164]	Loss 1.5590 (1.8988)	Accuracy 37.500 (21.449)
Test: [ 20/164]	Loss 2.3175 (1.9272)	Accuracy  7.812 (22.879)
Test: [ 30/164]	Loss 0.7409 (1.7390)	Accuracy 77.344 (32.157)
Test: [ 40/164]	Loss 0.6848 (1.4794)	Accuracy 78.125 (43.598)
Test: [ 50/164]	Loss 1.8057 (1.4210)	Accuracy 22.656 (46.017)
Test: [ 60/164]	Loss 2.1858 (1.5657)	Accuracy 15.625 (42.418)
Test: [ 70/164]	Loss 1.2753 (1.6187)	Accuracy 51.562 (41.076)
Test: [ 80/164]	Loss 1.2725 (1.5424)	Accuracy 46.875 (44.454)
Test: [ 90/164]	Loss 1.3845 (1.5176)	Accuracy 46.875 (44.703)
Test: [100/164]	Loss 2.8762 (1.6339)	Accuracy 15.625 (42.133)
Test: [110/164]	Loss 2.4794 (1.7210)	Accuracy 14.062 (39.907)
Test: [120/164]	Loss 1.0706 (1.7530)	Accuracy 66.406 (39.108)
Test: [130/164]	Loss 1.0239 (1.7069)	Accuracy 62.500 (40.762)
Test: [140/164]	Loss 1.6165 (1.6717)	Accuracy 42.188 (41.927)
Test: [150/164]	Loss 1.9106 (1.6738)	Accuracy 21.875 (40.842)
Test: [160/164]	Loss 2.4198 (1.7015)	Accuracy 11.719 (39.242)
 * Accuracy 38.748
Current best accuracy: 38.74779510498047
132.34743356704712
Current learning rate: 0.1
Epoch: [3][  0/383]	Loss 0.2332 (0.2332)	Accuracy 42.969 (42.969)
Epoch: [3][ 10/383]	Loss 0.2142 (0.2185)	Accuracy 46.094 (44.176)
